iter	Logloss
0	0.6201023475
1	0.564272578
2	0.5221034976
3	0.4899170378
4	0.4660523441
5	0.4473316936
6	0.4331043987
7	0.4223372912
8	0.4139062649
9	0.4061277416
10	0.400444204
11	0.3959836817
12	0.3921689128
13	0.3889786367
14	0.3859487589
15	0.3835025731
16	0.3815724507
17	0.3797082075
18	0.378331783
19	0.3770826276
20	0.3759916656
21	0.3750240911
22	0.3740963955
23	0.373368988
24	0.3725815679
25	0.3719267537
26	0.3714628835
27	0.3709155757
28	0.3705583149
29	0.3701780823
30	0.369932571
31	0.3696728043
32	0.3693985478
33	0.3691509118
34	0.368862002
35	0.3686726269
36	0.3685028868
37	0.3683271707
38	0.3681873198
39	0.3680551936
40	0.3678743947
41	0.367745931
42	0.367602309
43	0.3674990085
44	0.3673777264
45	0.3672410598
46	0.3671507755
47	0.3669954644
48	0.3668844315
49	0.3668196726
50	0.3667073243
51	0.3666094892
52	0.3664677594
53	0.3663906035
54	0.3663300067
55	0.3662422261
56	0.3661583185
57	0.3661132125
58	0.3660198882
59	0.3659520224
60	0.3658680013
61	0.365828551
62	0.3657738229
63	0.3656831564
64	0.3656313937
65	0.3655636424
66	0.3655240888
67	0.3654350014
68	0.3653669155
69	0.3653144494
70	0.3652386726
71	0.3651733518
72	0.3651178792
73	0.3650787555
74	0.3650381561
75	0.3649598759
76	0.3649038394
77	0.3648474409
78	0.3648045957
79	0.3647627017
80	0.3647254802
81	0.3646531059
82	0.364612082
83	0.3645609257
84	0.3645275069
85	0.3644415487
86	0.364399018
87	0.36436866
88	0.3643158648
89	0.3642659233
90	0.364230858
91	0.3641947075
92	0.3641513527
93	0.3640800608
94	0.36402835
95	0.3640013848
96	0.3639643211
97	0.3638851254
98	0.3638383991
99	0.3638041907
100	0.3637775456
101	0.3637472383
102	0.3637177454
103	0.3636737096
104	0.3636397198
105	0.3636158031
106	0.3635562894
107	0.3635189752
108	0.3634835171
109	0.3634422477
110	0.3634140649
111	0.3633950852
112	0.3633635894
113	0.3633336059
114	0.3632843394
115	0.3632232577
116	0.363165346
117	0.3631322644
118	0.3631059249
119	0.363083208
120	0.3630478881
121	0.3629998285
122	0.362956986
123	0.3629351821
124	0.3629188774
125	0.3628818649
126	0.3628532898
127	0.3628120881
128	0.3627935938
129	0.3627363745
130	0.3626879996
131	0.3626179965
132	0.3625913063
133	0.3625554554
134	0.3625160081
135	0.3624870966
136	0.3624497453
137	0.3624093022
138	0.3623596984
139	0.3623279091
140	0.3622647353
141	0.3622292209
142	0.3621991789
143	0.3621534893
144	0.3621283884
145	0.3620712461
146	0.361998953
147	0.3619702188
148	0.3619427458
149	0.3619089508
150	0.3618713425
151	0.3618247611
152	0.3617725327
153	0.361744403
154	0.3617223588
155	0.3616810768
156	0.3616558875
157	0.3616229125
158	0.3615910288
159	0.3615608118
160	0.3615183435
161	0.3614751685
162	0.3614465239
163	0.3614048604
164	0.3613676263
165	0.3613378672
166	0.3612901386
167	0.3612660012
168	0.3612297375
169	0.3612043421
170	0.3611743719
171	0.3611408214
172	0.3611061634
173	0.3610691627
174	0.3610493397
175	0.3610268209
176	0.3609891874
177	0.3609346028
178	0.360917368
179	0.360880411
180	0.3608235655
181	0.3607902353
182	0.3607523601
183	0.3607163232
184	0.360684843
185	0.3606650529
186	0.3606446886
187	0.3606205948
188	0.3605857966
189	0.3605449252
190	0.3605244481
191	0.3604709813
192	0.360448509
193	0.360414533
194	0.3603789527
195	0.3603394812
196	0.3603103968
197	0.3602821073
198	0.3602580799
199	0.3602268989
200	0.3602043855
201	0.3601782575
202	0.360154509
203	0.3601133662
204	0.3600737918
205	0.3600428907
206	0.3600021072
207	0.3599609414
208	0.3599231109
209	0.3598954615
210	0.3598737951
211	0.359849858
212	0.3598124852
213	0.3597869365
214	0.3597573453
215	0.3597245321
216	0.359684574
217	0.3596573288
218	0.3596270214
219	0.3595979872
220	0.3595697915
221	0.3595458472
222	0.3595013661
223	0.3594805583
224	0.3594609634
225	0.3594273555
226	0.3593922328
227	0.3593712718
228	0.3593425244
229	0.3593130216
230	0.3592904098
231	0.3592686015
232	0.3592477379
233	0.3592196489
234	0.3592002073
235	0.3591766718
236	0.3591586488
237	0.3591307432
238	0.3591075463
239	0.3590841209
240	0.3590467587
241	0.3590194729
242	0.3589879606
243	0.3589632977
244	0.3589442987
245	0.358921381
246	0.3588900064
247	0.358858693
248	0.3588365276
249	0.3588099724
250	0.3587911069
251	0.3587629954
252	0.3587327114
253	0.3587152891
254	0.3586937114
255	0.3586661374
256	0.3586539409
257	0.3586341977
258	0.3586074731
259	0.3585850711
260	0.358562471
261	0.3585379674
262	0.3585096477
263	0.3584873028
264	0.3584655896
265	0.3584427619
266	0.3584235556
267	0.3584074027
268	0.3583909467
269	0.3583675599
270	0.358345424
271	0.3583205373
272	0.35829044
273	0.3582598845
274	0.3582415648
275	0.3582173402
276	0.3581879967
277	0.3581679092
278	0.3581475154
279	0.3581256815
280	0.3580985658
281	0.3580790993
282	0.3580504942
283	0.3580226916
284	0.3579954076
285	0.3579719042
286	0.3579460977
287	0.3579228536
288	0.3579053244
289	0.357883954
290	0.3578582641
291	0.3578291862
292	0.3578015729
293	0.3577806581
294	0.3577599207
295	0.3577368125
296	0.3577126136
297	0.3576905437
298	0.3576616893
299	0.3576406191
300	0.3576151804
301	0.3575921313
302	0.3575652232
303	0.3575376532
304	0.3575109884
305	0.3574921036
306	0.3574661054
307	0.3574370991
308	0.3574173095
309	0.3573878916
310	0.3573707421
311	0.3573489362
312	0.3573271544
313	0.3573021379
314	0.3572813173
315	0.3572510722
316	0.3572297165
317	0.357204238
318	0.3571785965
319	0.357155503
320	0.3571315512
321	0.3571063337
322	0.3570863415
323	0.3570718626
324	0.3570522106
325	0.3570355947
326	0.3570221132
327	0.3570024501
328	0.3569824261
329	0.3569660504
330	0.356945136
331	0.3569287668
332	0.356908846
333	0.3568805697
334	0.3568595825
335	0.3568365598
336	0.3568170413
337	0.3567933537
338	0.3567765529
339	0.3567589321
340	0.3567382112
341	0.3567180261
342	0.3567017431
343	0.3566803271
344	0.3566606877
345	0.3566402906
346	0.3566209736
347	0.3565966079
348	0.3565793278
349	0.356555728
350	0.3565349587
351	0.3565140879
352	0.3564975821
353	0.3564752659
354	0.3564594284
355	0.3564417474
356	0.3564235432
357	0.3564006847
358	0.3563895152
359	0.3563573959
360	0.356329886
361	0.3563181345
362	0.3562918658
363	0.3562749122
364	0.3562487207
365	0.356231352
366	0.3562186144
367	0.3561938196
368	0.3561718224
369	0.3561506431
370	0.3561089044
371	0.3560890802
372	0.356075825
373	0.3560584157
374	0.3560344427
375	0.3560145222
376	0.3560007438
377	0.3559887564
378	0.3559738256
379	0.3559514941
380	0.3559360764
381	0.3559203781
382	0.3558917857
383	0.3558749641
384	0.3558522162
385	0.3558326272
386	0.3558121445
387	0.3557878394
388	0.3557662586
389	0.3557541029
390	0.35574085
391	0.355722166
392	0.3556991372
393	0.3556729815
394	0.3556582639
395	0.3556465173
396	0.3556276026
397	0.3556072327
398	0.3555768901
399	0.355557702
400	0.3555373727
401	0.3555112138
402	0.3554907662
403	0.3554727113
404	0.3554520989
405	0.3554308276
406	0.355411959
407	0.3553931933
408	0.3553718145
409	0.3553580572
410	0.3553422833
411	0.3553270144
412	0.3553056731
413	0.3552793613
414	0.3552662936
415	0.3552447308
416	0.3552304902
417	0.3552103918
418	0.3551916979
419	0.3551727645
420	0.3551534626
421	0.3551378552
422	0.3551233945
423	0.3551065374
424	0.3550843494
425	0.3550647527
426	0.3550433408
427	0.3550231586
428	0.3549989203
429	0.3549743585
430	0.3549529616
431	0.3549376466
432	0.3549255352
433	0.3549101062
434	0.354898273
435	0.354877593
436	0.3548645296
437	0.3548501654
438	0.3548342043
439	0.3548199281
440	0.3548004991
441	0.3547808163
442	0.3547603339
443	0.354746045
444	0.3547301429
445	0.35470996
446	0.3546895329
447	0.3546727937
448	0.3546553284
449	0.354639637
450	0.3546235996
451	0.3546044381
452	0.3545815444
453	0.3545679781
454	0.3545506592
455	0.3545386805
456	0.3545191987
457	0.3545060844
458	0.3544866034
459	0.3544700325
460	0.3544551027
461	0.3544382431
462	0.3544230081
463	0.3544021126
464	0.3543878565
465	0.3543717994
466	0.3543511068
467	0.354336334
468	0.3543195935
469	0.3543008629
470	0.354277381
471	0.3542609626
472	0.3542424591
473	0.3542261248
474	0.3542150068
475	0.3542000891
476	0.3541719997
477	0.3541520887
478	0.3541344783
479	0.3541224478
480	0.354105471
481	0.3540917788
482	0.3540714369
483	0.3540567357
484	0.3540314649
485	0.3540074143
486	0.3539791224
487	0.3539656875
488	0.3539425986
489	0.3539223645
490	0.3539026929
491	0.3538824057
492	0.3538670947
493	0.3538430915
494	0.3538282044
495	0.3538020343
496	0.3537746119
497	0.3537605322
498	0.3537447289
499	0.353734362
