iter	Passed	Remaining
0	70	35266
1	142	35578
2	217	36077
3	288	35740
4	360	35692
5	435	35869
6	510	35956
7	584	35966
8	654	35715
9	732	35868
10	816	36296
11	899	36571
12	970	36374
13	1046	36331
14	1118	36157
15	1194	36131
16	1256	35685
17	1330	35622
18	1401	35492
19	1468	35233
20	1539	35124
21	1611	35020
22	1688	35027
23	1762	34947
24	1838	34927
25	1911	34849
26	1979	34672
27	2050	34561
28	2122	34470
29	2192	34342
30	2259	34188
31	2332	34112
32	2399	33959
33	2469	33850
34	2541	33770
35	2601	33535
36	2660	33290
37	2729	33186
38	2802	33123
39	2866	32960
40	2950	33035
41	3024	32983
42	3103	32982
43	3174	32896
44	3249	32854
45	3330	32865
46	3405	32819
47	3480	32774
48	3558	32754
49	3627	32645
50	3700	32579
51	3764	32433
52	3839	32379
53	3911	32302
54	3985	32248
55	4060	32196
56	4137	32152
57	4205	32047
58	4273	31944
59	4334	31783
60	4407	31718
61	4478	31637
62	4534	31455
63	4595	31303
64	4665	31220
65	4736	31148
66	4809	31081
67	4886	31043
68	4958	30970
69	5032	30914
70	5106	30856
71	5176	30772
72	5245	30680
73	5307	30552
74	5379	30485
75	5451	30414
76	5522	30338
77	5592	30257
78	5661	30170
79	5726	30062
80	5792	29961
81	5867	29911
82	5938	29834
83	6011	29773
84	6084	29707
85	6148	29596
86	6217	29516
87	6275	29378
88	6348	29315
89	6418	29239
90	6474	29100
91	6543	29021
92	6612	28939
93	6681	28859
94	6755	28798
95	6824	28721
96	6903	28681
97	6973	28606
98	7046	28540
99	7113	28455
100	7181	28369
101	7248	28282
102	7317	28203
103	7386	28126
104	7454	28042
105	7510	27916
106	7583	27854
107	7655	27787
108	7728	27722
109	7806	27676
110	7881	27621
111	7950	27544
112	8024	27480
113	8089	27389
114	8158	27312
115	8227	27236
116	8293	27147
117	8361	27069
118	8429	26987
119	8496	26905
120	8567	26834
121	8642	26776
122	8715	26712
123	8784	26637
124	8856	26568
125	8928	26502
126	9002	26440
127	9074	26373
128	9142	26292
129	9208	26208
130	9281	26144
131	9338	26033
132	9406	25955
133	9471	25869
134	9548	25815
135	9610	25720
136	9678	25645
137	9750	25577
138	9824	25515
139	9897	25450
140	9970	25385
141	10042	25318
142	10112	25244
143	10182	25173
144	10247	25088
145	10316	25013
146	10388	24946
147	10460	24878
148	10527	24798
149	10598	24729
150	10663	24646
151	10735	24578
152	10808	24514
153	10881	24448
154	10950	24372
155	11023	24308
156	11092	24233
157	11163	24163
158	11229	24083
159	11296	24005
160	11365	23930
161	11435	23859
162	11493	23762
163	11567	23699
164	11642	23637
165	11710	23561
166	11778	23486
167	11849	23417
168	11925	23357
169	11997	23289
170	12072	23226
171	12145	23161
172	12218	23094
173	12288	23024
174	12362	22959
175	12439	22900
176	12513	22835
177	12591	22777
178	12664	22711
179	12762	22688
180	12843	22635
181	12924	22582
182	13002	22523
183	13084	22470
184	13163	22414
185	13241	22353
186	13316	22289
187	13391	22224
188	13467	22161
189	13545	22100
190	13620	22035
